ARG_Name,MGE_Name,MGE_Group_Name,Patient_ID,Label
TETB,gene:plasmid:119654,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119655,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119656,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119657,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119658,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119659,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119660,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119661,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:119662,plasmid,32,PreFMT & PostFMT Only
TETB,gene:plasmid:88444,likely IS/TE,32,PreFMT & PostFMT Only
UGD,gene:plasmid:84622,likely IS/TE,32,PreFMT & PostFMT Only
YJAA,gene:plasmid:109300,plasmid,32,PreFMT & PostFMT Only
ACRD,gene:proph:163979,prophage,34,PreFMT & PostFMT Only
MDTB,gene:plasmid:134726,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:149415,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:153884,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:153886,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:21988,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:91800,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:93474,plasmid,34,PreFMT & PostFMT Only
MDTK,gene:plasmid:93475,plasmid,34,PreFMT & PostFMT Only
MGTA,gene:proph:170528,prophage,34,PreFMT & PostFMT Only
MGTA,gene:proph:170535,prophage,34,PreFMT & PostFMT Only
MGTA,gene:proph:170536,prophage,34,PreFMT & PostFMT Only
MGTA,gene:proph:170540,prophage,34,PreFMT & PostFMT Only
MGTA,gene:vir:513,virus,34,PreFMT & PostFMT Only
OQXA,gene:plasmid:119871,plasmid,34,PreFMT & PostFMT Only
OQXA,gene:plasmid:149415,plasmid,34,PreFMT & PostFMT Only
OQXA,gene:plasmid:21988,plasmid,34,PreFMT & PostFMT Only
OQXA,gene:vir:105028,virus,34,PreFMT & PostFMT Only
RPOS,gene:plasmid:117744,likely IS/TE,34,PreFMT & PostFMT Only
RPOS,gene:plasmid:117746,likely IS/TE,34,PreFMT & PostFMT Only
RPOS,gene:plasmid:21336,plasmid,34,PreFMT & PostFMT Only
RPOS,gene:plasmid:21843,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:121554,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:153906,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:155952,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:155964,plasmid,34,PreFMT & PostFMT Only
SILC,gene:plasmid:156035,plasmid,34,PreFMT & PostFMT Only
